SourceImage,Label,CorrectedTo
260708_316_H_b2_front_CBS_003,157,True
260708_316_H_b2_front_CBS_003,158,True
260708_316_H_b2_front_CBS_003,162,True
260708_316_H_b2_front_CBS_003,164,True
260708_316_H_b2_front_CBS_003,177,True
260708_316_H_b2_front_CBS_003,179,True
260708_316_H_b2_front_CBS_003,183,True
260708_316_H_b2_front_CBS_003,185,True
260708_316_H_b2_front_CBS_003,91,erased
260708_316_H_b2_front_CBS_003,96,erased
260708_316_H_b2_front_CBS_003,102,erased
260708_316_H_b2_front_CBS_003,108,erased
260708_316_H_b2_front_CBS_003,139,erased
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,91,True
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,117,True
260708_316_H_b2_front_CBS_003,130,True
260708_316_H_b2_front_CBS_003,146,True
260708_316_H_b2_front_CBS_003,149,True
260708_316_H_b2_front_CBS_003,152,True
260708_316_H_b2_front_CBS_003,199,True
260708_316_H_b2_front_CBS_003,91,erased
260708_316_H_b2_front_CBS_003,146,erased
260708_316_H_b2_front_CBS_003,149,erased
260708_316_H_b2_front_CBS_003,165,erased
260708_316_H_b2_front_CBS_003,169,erased
260708_316_H_b2_front_CBS_003,182,erased
260708_316_H_b2_front_CBS_003,207,erased
260708_316_H_b2_front_CBS_003,208,erased
260708_316_H_b2_front_CBS_003,205,True
260708_316_H_b2_front_CBS_004,67,True
260708_316_H_b2_front_CBS_004,70,True
260708_316_H_b2_front_CBS_004,82,True
260708_316_H_b2_front_CBS_004,87,True
260708_316_H_b2_front_CBS_004,98,True
260708_316_H_b2_front_CBS_004,99,True
260708_316_H_b2_front_CBS_004,102,True
260708_316_H_b2_front_CBS_004,107,True
260708_316_H_b2_front_CBS_004,108,True
260708_316_H_b2_front_CBS_004,113,True
260708_316_H_b2_front_CBS_004,120,True
260708_316_H_b2_front_CBS_004,123,True
260708_316_H_b2_front_CBS_004,134,True
260708_316_H_b2_front_CBS_004,135,True
260708_316_H_b2_front_CBS_004,136,True
260708_316_H_b2_front_CBS_005,80,True
260708_316_H_b2_front_CBS_005,84,True
260708_316_H_b2_front_CBS_005,86,True
260708_316_H_b2_front_CBS_005,101,True
260708_316_H_b2_front_CBS_005,106,True
260708_316_H_b2_front_CBS_005,107,True
260708_316_H_b2_front_CBS_005,111,True
260708_316_H_b2_front_CBS_005,114,True
260708_316_H_b2_front_CBS_005,124,True
260708_316_H_b2_front_CBS_005,133,True
260708_316_H_b2_front_CBS_005,134,True
260708_316_H_b2_front_CBS_005,135,True
260622_316_H_b2_back_CBS_01,241,True
260622_316_H_b2_back_CBS_01,241,erased
260622_316_H_b2_back_CBS_01,295,erased
260622_316_H_b2_back_CBS_01,319,erased
260622_316_H_b2_back_CBS_01,324,erased
260622_316_H_b2_back_CBS_01,351,erased
260622_316_H_b2_back_CBS_01,357,erased
260622_316_H_b2_back_CBS_01,361,erased
260622_316_H_b2_back_CBS_01,417,erased
260622_316_H_b2_back_CBS_01,424,erased
260622_316_H_b2_back_CBS_01,435,erased
260622_316_H_b2_back_CBS_01,441,erased
260622_316_H_b2_back_CBS_01,564,erased
260708_316_H_b2_front_CBS_002,183,True
260708_316_H_b2_front_CBS_002,132,True
260708_316_H_b2_front_CBS_002,134,True
260708_316_H_b2_front_CBS_002,141,True
260708_316_H_b2_front_CBS_002,147,True
260708_316_H_b2_front_CBS_002,151,True
260708_316_H_b2_front_CBS_002,152,True
260708_316_H_b2_front_CBS_002,153,True
260708_316_H_b2_front_CBS_002,154,True
260708_316_H_b2_front_CBS_002,156,True
260708_316_H_b2_front_CBS_002,159,True
260708_316_H_b2_front_CBS_002,162,True
260708_316_H_b2_front_CBS_002,168,True
260708_316_H_b2_front_CBS_002,169,True
260708_316_H_b2_front_CBS_002,170,True
260708_316_H_b2_front_CBS_002,171,True
260708_316_H_b2_front_CBS_002,177,True
260708_316_H_b2_front_CBS_002,132,True
260708_316_H_b2_front_CBS_006,1,True
260708_316_H_b2_front_CBS_006,2,True
260708_316_H_b2_front_CBS_006,8,True
260708_316_H_b2_front_CBS_006,10,True
260708_316_H_b2_front_CBS_006,11,True
260708_316_H_b2_front_CBS_006,13,True
260708_316_H_b2_front_CBS_006,14,True
260708_316_H_b2_front_CBS_006,18,True
260708_316_H_b2_front_CBS_006,20,True
260708_316_H_b2_front_CBS_006,21,True
260708_316_H_b2_front_CBS_006,26,True
260708_316_H_b2_front_CBS_006,27,True
260708_316_H_b2_front_CBS_007,1,True
260708_316_H_b2_front_CBS_007,2,True
260708_316_H_b2_front_CBS_007,3,True
260708_316_H_b2_front_CBS_007,4,True
260708_316_H_b2_front_CBS_007,5,True
260708_316_H_b2_front_CBS_007,6,True
260708_316_H_b2_front_CBS_007,7,True
260708_316_H_b2_front_CBS_007,8,True
260708_316_H_b2_front_CBS_007,10,True
260708_316_H_b2_front_CBS_007,11,True
260708_316_H_b2_front_CBS_007,12,True
260708_316_H_b2_front_CBS_007,13,True
260708_316_H_b2_front_CBS_007,14,True
260708_316_H_b2_front_CBS_007,15,True
260708_316_H_b2_front_CBS_007,16,True
260708_316_H_b2_front_CBS_007,17,True
260708_316_H_b2_front_CBS_007,18,True
260708_316_H_b2_front_CBS_007,20,True
260708_316_H_b2_front_CBS_007,22,True
260708_316_H_b2_front_CBS_007,24,True
260708_316_H_b2_front_CBS_007,25,True
260708_316_H_b2_front_CBS_007,26,True
260708_316_H_b2_front_CBS_007,27,True
260708_316_H_b2_front_CBS_007,30,True
260708_316_H_b2_front_CBS_007,31,True
260708_316_H_b2_front_CBS_007,32,True
260708_316_H_b2_front_CBS_007,33,True
260708_316_H_b2_front_CBS_007,34,True
260708_316_H_b2_front_CBS_007,35,True
260708_316_H_b2_front_CBS_007,36,True
260708_316_H_b2_front_CBS_007,37,True
260708_316_H_b2_front_CBS_007,38,True
260708_316_H_b2_front_CBS_007,39,True
260708_316_H_b2_front_CBS_007,40,True
260708_316_H_b2_front_CBS_007,44,True
260708_316_H_b2_front_CBS_007,46,True
260708_316_H_b2_front_CBS_007,48,True
260708_316_H_b2_front_CBS_007,51,True
260708_316_H_b2_front_CBS_007,55,True
260708_316_H_b2_front_CBS_007,56,True
260708_316_H_b2_front_CBS_007,57,True
260708_316_H_b2_front_CBS_010,2,erased
260708_316_H_b2_front_CBS_010,5,erased
260708_316_H_b2_front_CBS_010,40,erased
260708_316_H_b2_front_CBS_010,167,erased
260708_316_H_b2_front_CBS_010,170,erased
260708_316_H_b2_front_CBS_010,178,erased
260708_316_H_b2_front_CBS_010,221,erased
260708_316_H_b2_front_CBS_010,242,erased
260708_316_H_b2_front_CBS_010,261,erased
260708_316_H_b2_front_CBS_010,263,erased
260708_316_H_b2_front_CBS_010,167,False
260708_316_H_b2_front_CBS_010,178,False
260708_316_H_b2_front_CBS_010,187,False
260708_316_H_b2_front_CBS_010,198,False
260708_316_H_b2_front_CBS_011,129,erased
260708_316_H_b2_front_CBS_011,159,erased
260708_316_H_b2_front_CBS_011,160,erased
260708_316_H_b2_front_CBS_011,161,erased
260708_316_H_b2_front_CBS_011,165,erased
260708_316_H_b2_front_CBS_011,166,erased
260708_316_H_b2_front_CBS_011,172,erased
260708_316_H_b2_front_CBS_011,179,erased
260708_316_H_b2_front_CBS_011,129,True
260708_316_H_b2_front_CBS_011,130,True
260708_316_H_b2_front_CBS_011,131,True
260708_316_H_b2_front_CBS_011,143,True
260708_316_H_b2_front_CBS_011,144,True
260708_316_H_b2_front_CBS_011,149,True
260708_316_H_b2_front_CBS_011,151,True
260708_316_H_b2_front_CBS_011,153,True
260708_316_H_b2_front_CBS_011,159,True
260708_316_H_b2_front_CBS_011,160,True
260708_316_H_b2_front_CBS_011,162,True
260708_316_H_b2_front_CBS_011,167,True
260708_316_H_b2_front_CBS_011,168,True
260708_316_H_b2_front_CBS_011,170,True
260708_316_H_b2_front_CBS_011,172,True
260708_316_H_b2_front_CBS_011,174,True
260708_316_H_b2_front_CBS_011,178,True
260708_316_H_b2_front_CBS_012,201,True
260708_316_H_b2_front_CBS_012,203,True
260708_316_H_b2_front_CBS_012,211,True
260708_316_H_b2_front_CBS_012,212,True
260708_316_H_b2_front_CBS_012,213,True
260708_316_H_b2_front_CBS_012,214,True
260708_316_H_b2_front_CBS_012,215,True
260708_316_H_b2_front_CBS_012,216,True
260708_316_H_b2_front_CBS_012,218,True
260708_316_H_b2_front_CBS_012,221,True
260708_316_H_b2_front_CBS_012,222,True
260708_316_H_b2_front_CBS_012,223,True
260708_316_H_b2_front_CBS_012,224,True
260708_316_H_b2_front_CBS_012,102,False
260708_316_H_b2_front_CBS_012,103,False
260708_316_H_b2_front_CBS_012,106,False
260708_316_H_b2_front_CBS_012,108,False
260708_316_H_b2_front_CBS_012,121,False
260708_316_H_b2_front_CBS_012,188,False
260708_316_H_b2_front_CBS_012,190,False
260708_316_H_b2_front_CBS_012,198,False
260708_316_H_b2_front_CBS_012,199,False
260708_316_H_b2_front_CBS_012,200,False
260708_316_H_b2_front_CBS_012,201,False
260708_316_H_b2_front_CBS_012,203,False
260708_316_H_b2_front_CBS_012,204,False
260708_316_H_b2_front_CBS_012,205,False
260708_316_H_b2_front_CBS_012,206,False
260708_316_H_b2_front_CBS_012,207,False
260708_316_H_b2_front_CBS_012,210,False
260708_316_H_b2_front_CBS_012,217,False
260708_316_H_b2_front_CBS_012,218,False
260708_316_H_b2_front_CBS_012,219,False
260708_316_H_b2_front_CBS_012,220,False
260708_316_H_b2_front_CBS_013,160,True
260708_316_H_b2_front_CBS_013,161,True
260708_316_H_b2_front_CBS_013,168,True
260708_316_H_b2_front_CBS_013,175,True
260708_316_H_b2_front_CBS_013,180,True
260708_316_H_b2_front_CBS_013,181,True
260708_316_H_b2_front_CBS_013,182,True
260708_316_H_b2_front_CBS_013,187,True
260708_316_H_b2_front_CBS_013,189,True
260708_316_H_b2_front_CBS_013,191,True
260708_316_H_b2_front_CBS_013,194,True
260708_316_H_b2_front_CBS_013,195,True
260708_316_H_b2_front_CBS_013,196,True
260708_316_H_b2_front_CBS_013,205,True
260708_316_H_b2_front_CBS_013,206,True
260708_316_H_b2_front_CBS_013,218,True
260708_316_H_b2_front_CBS_013,219,True
260708_316_H_b2_front_CBS_013,220,True
260708_316_H_b2_front_CBS_013,224,True
260708_316_H_b2_front_CBS_013,64,False
260708_316_H_b2_front_CBS_013,65,False
260708_316_H_b2_front_CBS_013,68,False
260708_316_H_b2_front_CBS_013,153,False
260708_316_H_b2_front_CBS_013,156,False
260708_316_H_b2_front_CBS_013,161,False
260708_316_H_b2_front_CBS_013,168,False
260708_316_H_b2_front_CBS_013,169,False
260708_316_H_b2_front_CBS_013,171,False
260708_316_H_b2_front_CBS_013,176,False
260708_316_H_b2_front_CBS_013,177,False
260708_316_H_b2_front_CBS_013,185,False
260708_316_H_b2_front_CBS_013,187,False
260708_316_H_b2_front_CBS_013,206,False
260708_316_H_b2_front_CBS_013,215,False
260708_316_H_b2_front_CBS_013,221,False
260708_316_H_b2_front_CBS_013,222,False
260708_316_H_b2_front_CBS_013,148,erased
260708_316_H_b2_front_CBS_013,160,erased
260708_316_H_b2_front_CBS_013,168,erased
260708_316_H_b2_front_CBS_013,198,erased
260708_316_H_b2_front_CBS_014,2,True
260708_316_H_b2_front_CBS_014,3,True
260708_316_H_b2_front_CBS_014,5,True
260708_316_H_b2_front_CBS_014,6,True
260708_316_H_b2_front_CBS_014,8,True
260708_316_H_b2_front_CBS_014,9,True
260708_316_H_b2_front_CBS_014,10,True
260708_316_H_b2_front_CBS_014,12,True
260708_316_H_b2_front_CBS_014,13,True
260708_316_H_b2_front_CBS_014,14,True
260708_316_H_b2_front_CBS_014,16,True
260708_316_H_b2_front_CBS_014,17,True
260708_316_H_b2_front_CBS_014,19,True
260708_316_H_b2_front_CBS_014,20,True
260708_316_H_b2_front_CBS_014,21,True
260708_316_H_b2_front_CBS_014,22,True
260708_316_H_b2_front_CBS_014,23,True
260708_316_H_b2_front_CBS_014,24,True
260708_316_H_b2_front_CBS_014,25,True
260708_316_H_b2_front_CBS_014,26,True
260708_316_H_b2_front_CBS_014,27,True
260708_316_H_b2_front_CBS_014,28,True
260708_316_H_b2_front_CBS_014,30,True
260708_316_H_b2_front_CBS_014,31,True
260708_316_H_b2_front_CBS_014,32,True
260708_316_H_b2_front_CBS_014,33,True
260708_316_H_b2_front_CBS_014,34,True
260708_316_H_b2_front_CBS_014,35,True
260708_316_H_b2_front_CBS_014,36,True
260708_316_H_b2_front_CBS_014,37,True
260708_316_H_b2_front_CBS_014,38,True
260708_316_H_b2_front_CBS_014,39,True
260708_316_H_b2_front_CBS_014,40,True
260708_316_H_b2_front_CBS_014,41,True
260708_316_H_b2_front_CBS_014,42,True
260708_316_H_b2_front_CBS_014,44,True
260708_316_H_b2_front_CBS_014,45,True
260708_316_H_b2_front_CBS_014,46,True
260708_316_H_b2_front_CBS_014,47,True
260708_316_H_b2_front_CBS_014,48,True
260708_316_H_b2_front_CBS_014,49,True
260708_316_H_b2_front_CBS_014,50,True
260708_316_H_b2_front_CBS_014,52,True
260708_316_H_b2_front_CBS_014,53,True
260708_316_H_b2_front_CBS_014,54,True
260708_316_H_b2_front_CBS_014,55,True
260708_316_H_b2_front_CBS_014,56,True
260708_316_H_b2_front_CBS_014,57,True
260708_316_H_b2_front_CBS_014,58,True
260708_316_H_b2_front_CBS_014,59,True
260708_316_H_b2_front_CBS_014,60,True
260708_316_H_b2_front_CBS_014,61,True
260708_316_H_b2_front_CBS_014,62,True
260708_316_H_b2_front_CBS_014,63,True
260708_316_H_b2_front_CBS_014,64,True
260708_316_H_b2_front_CBS_014,65,True
260708_316_H_b2_front_CBS_014,67,True
260708_316_H_b2_front_CBS_014,68,True
260708_316_H_b2_front_CBS_014,70,True
260708_316_H_b2_front_CBS_014,71,True
260708_316_H_b2_front_CBS_014,72,True
260708_316_H_b2_front_CBS_014,74,True
260708_316_H_b2_front_CBS_014,75,True
260708_316_H_b2_front_CBS_014,79,True
260708_316_H_b2_front_CBS_014,80,True
260708_316_H_b2_front_CBS_014,81,True
260708_316_H_b2_front_CBS_014,82,True
260708_316_H_b2_front_CBS_014,83,True
260708_316_H_b2_front_CBS_014,102,True
260708_316_H_b2_front_CBS_014,115,True
260708_316_H_b2_front_CBS_014,63,erased
260708_316_H_b2_front_CBS_014,85,erased
260708_316_H_b2_front_CBS_014,95,erased
260708_316_H_b2_front_CBS_014,2,True
260708_316_H_b2_front_CBS_014,5,True
260708_316_H_b2_front_CBS_014,95,True
260708_316_H_b2_front_CBS_015,4,True
260708_316_H_b2_front_CBS_015,8,True
260708_316_H_b2_front_CBS_015,9,True
260708_316_H_b2_front_CBS_015,10,True
260708_316_H_b2_front_CBS_015,12,True
260708_316_H_b2_front_CBS_015,15,True
260708_316_H_b2_front_CBS_015,39,True
260708_316_H_b2_front_CBS_015,40,True
260708_316_H_b2_front_CBS_015,43,True
260708_316_H_b2_front_CBS_015,45,True
260708_316_H_b2_front_CBS_015,48,True
260708_316_H_b2_front_CBS_015,49,True
260708_316_H_b2_front_CBS_015,51,True
260708_316_H_b2_front_CBS_015,53,True
260708_316_H_b2_front_CBS_015,55,True
260708_316_H_b2_front_CBS_015,56,True
260708_316_H_b2_front_CBS_015,57,True
260708_316_H_b2_front_CBS_015,58,True
260708_316_H_b2_front_CBS_015,59,True
260708_316_H_b2_front_CBS_015,61,True
260708_316_H_b2_front_CBS_015,63,True
260708_316_H_b2_front_CBS_015,64,True
260708_316_H_b2_front_CBS_015,65,True
260708_316_H_b2_front_CBS_015,66,True
260708_316_H_b2_front_CBS_015,67,True
260708_316_H_b2_front_CBS_015,68,True
260708_316_H_b2_front_CBS_015,69,True
260708_316_H_b2_front_CBS_015,71,True
260708_316_H_b2_front_CBS_015,73,True
260708_316_H_b2_front_CBS_015,76,True
260708_316_H_b2_front_CBS_015,77,True
260708_316_H_b2_front_CBS_015,78,True
260708_316_H_b2_front_CBS_015,79,True
260708_316_H_b2_front_CBS_015,82,True
260708_316_H_b2_front_CBS_015,83,True
260708_316_H_b2_front_CBS_015,84,True
260708_316_H_b2_front_CBS_015,85,True
260708_316_H_b2_front_CBS_015,87,True
260708_316_H_b2_front_CBS_015,89,True
260708_316_H_b2_front_CBS_015,91,True
260708_316_H_b2_front_CBS_015,13,False
260708_316_H_b2_front_CBS_015,19,False
260708_316_H_b2_front_CBS_015,20,False
260708_316_H_b2_front_CBS_015,88,False
260708_316_H_b2_front_CBS_015,92,False
260708_316_H_b2_front_CBS_015,96,False
260708_316_H_b2_front_CBS_015,100,False
260708_316_H_b2_front_CBS_015,101,False
260708_316_H_b2_front_CBS_003,100,True
260708_316_H_b2_front_CBS_003,153,True
260708_316_H_b2_front_CBS_003,181,True
260708_316_H_b2_front_CBS_003,186,True
260622_316_H_b2_front_CBS_04,81,True
260622_316_H_b2_front_CBS_04,101,True
260622_316_H_b2_front_CBS_04,102,True
260622_316_H_b2_front_CBS_04,107,True
260622_316_H_b2_front_CBS_04,110,True
260622_316_H_b2_front_CBS_04,112,True
260622_316_H_b2_front_CBS_04,115,True
260622_316_H_b2_front_CBS_04,119,True
260622_316_H_b2_front_CBS_04,120,True
260622_316_H_b2_front_CBS_04,124,True
260622_316_H_b2_front_CBS_04,128,True
260622_316_H_b2_front_CBS_04,131,True
260622_316_H_b2_front_CBS_04,132,True
260622_316_H_b2_front_CBS_04,133,True
260622_316_H_b2_front_CBS_04,134,True
260622_316_H_b2_front_CBS_04,135,True
260622_316_H_b2_front_CBS_04,136,True
260622_316_H_b2_front_CBS_04,137,True
260622_316_H_b2_front_CBS_04,138,True
260622_316_H_b2_front_CBS_04,139,True
260622_316_H_b2_front_CBS_04,140,True
260622_316_H_b2_front_CBS_04,141,True
260622_316_H_b2_front_CBS_04,142,True
260622_316_H_b2_front_CBS_04,143,True
260622_316_H_b2_front_CBS_04,145,True
260622_316_H_b2_front_CBS_04,146,True
260622_316_H_b2_front_CBS_04,147,True
260622_316_H_b2_front_CBS_04,148,True
260622_316_H_b2_front_CBS_04,149,True
260622_316_H_b2_front_CBS_04,150,True
260622_316_H_b2_front_CBS_04,151,True
260622_316_H_b2_front_CBS_04,152,True
260622_316_H_b2_front_CBS_04,153,True
260622_316_H_b2_front_CBS_04,154,True
260622_316_H_b2_front_CBS_04,155,True
260622_316_H_b2_front_CBS_04,156,True
260622_316_H_b2_front_CBS_04,158,True
260622_316_H_b2_front_CBS_04,159,True
260622_316_H_b2_front_CBS_04,160,True
260622_316_H_b2_front_CBS_04,161,True
260622_316_H_b2_front_CBS_04,162,True
260622_316_H_b2_front_CBS_04,164,True
260622_316_H_b2_front_CBS_04,167,True
260622_316_H_b2_front_CBS_04,168,True
260622_316_H_b2_front_CBS_04,169,True
260622_316_H_b2_front_CBS_04,170,True
260622_316_H_b2_front_CBS_04,173,True
260622_316_H_b2_front_CBS_04,175,True
260622_316_H_b2_front_CBS_04,176,True
260622_316_H_b2_front_CBS_04,177,True
260622_316_H_b2_front_CBS_04,179,True
260622_316_H_b2_front_CBS_04,181,True
260622_316_H_b2_front_CBS_04,184,True
260622_316_H_b2_front_CBS_04,185,True
260622_316_H_b2_front_CBS_04,187,True
260622_316_H_b2_front_CBS_04,189,True
260622_316_H_b2_front_CBS_04,191,True
260622_316_H_b2_front_CBS_04,192,True
260622_316_H_b2_front_CBS_04,193,True
260622_316_H_b2_front_CBS_04,194,True
260622_316_H_b2_front_CBS_04,195,True
260622_316_H_b2_front_CBS_04,196,True
260622_316_H_b2_front_CBS_04,197,True
260622_316_H_b2_front_CBS_04,198,True
260622_316_H_b2_front_CBS_04,199,True
260622_316_H_b2_front_CBS_04,200,True
260622_316_H_b2_front_CBS_04,201,True
260622_316_H_b2_front_CBS_04,202,True
260622_316_H_b2_front_CBS_04,204,True
260622_316_H_b2_front_CBS_04,205,True
260622_316_H_b2_front_CBS_04,206,True
260622_316_H_b2_front_CBS_04,207,True
260622_316_H_b2_front_CBS_04,208,True
260622_316_H_b2_front_CBS_04,209,True
260622_316_H_b2_front_CBS_04,211,True
260622_316_H_b2_front_CBS_04,212,True
260622_316_H_b2_front_CBS_04,213,True
260622_316_H_b2_front_CBS_04,214,True
260622_316_H_b2_front_CBS_04,215,True
260622_316_H_b2_front_CBS_04,216,True
260622_316_H_b2_front_CBS_04,218,True
260622_316_H_b2_front_CBS_04,220,True
260622_316_H_b2_front_CBS_04,222,True
260622_316_H_b2_front_CBS_04,224,True
260622_316_H_b2_front_CBS_04,225,True
260622_316_H_b2_front_CBS_04,227,True
260622_316_H_b2_front_CBS_04,228,True
260622_316_H_b2_front_CBS_04,229,True
260622_316_H_b2_front_CBS_04,231,True
260622_316_H_b2_front_CBS_04,232,True
260622_316_H_b2_front_CBS_04,233,True
260622_316_H_b2_front_CBS_04,234,True
260622_316_H_b2_front_CBS_04,235,True
260622_316_H_b2_front_CBS_04,236,True
260622_316_H_b2_front_CBS_04,237,True
260622_316_H_b2_front_CBS_04,238,True
260622_316_H_b2_front_CBS_04,239,True
260622_316_H_b2_front_CBS_04,241,True
260622_316_H_b2_front_CBS_04,243,True
260622_316_H_b2_front_CBS_04,245,True
260622_316_H_b2_front_CBS_04,246,True
260622_316_H_b2_front_CBS_04,249,True
260622_316_H_b2_front_CBS_04,250,True
260622_316_H_b2_front_CBS_04,251,True
260622_316_H_b2_front_CBS_04,252,True
260622_316_H_b2_front_CBS_04,254,True
260622_316_H_b2_front_CBS_04,257,True
260622_316_H_b2_front_CBS_04,259,True
260622_316_H_b2_front_CBS_04,261,True
260622_316_H_b2_front_CBS_04,262,True
260622_316_H_b2_front_CBS_04,263,True
260622_316_H_b2_front_CBS_04,264,True
260622_316_H_b2_front_CBS_04,265,True
260622_316_H_b2_front_CBS_04,268,True
260622_316_H_b2_front_CBS_04,271,True
260622_316_H_b2_front_CBS_04,272,True
260622_316_H_b2_front_CBS_04,274,True
260622_316_H_b2_front_CBS_04,276,True
260622_316_H_b2_front_CBS_04,278,True
260622_316_H_b2_front_CBS_04,279,True
260622_316_H_b2_front_CBS_04,280,True
260622_316_H_b2_front_CBS_04,286,True
260622_316_H_b2_front_CBS_04,288,True
260622_316_H_b2_front_CBS_04,289,True
260622_316_H_b2_front_CBS_04,293,True
260622_316_H_b2_front_CBS_04,151,erased
260622_316_H_b2_front_CBS_04,164,erased
260622_316_H_b2_front_CBS_04,228,erased
260622_316_H_b2_front_CBS_04,257,erased
260622_316_amb_b3_CBS_01,151,False
260708_316_H_b2_front_CBS_012,69,erased
260708_316_H_b2_front_CBS_012,69,False
260708_316_H_b2_front_CBS_012,79,False
260708_316_H_b2_front_CBS_012,82,False
260708_316_H_b2_front_CBS_012,15,erased
260708_316_H_b2_front_CBS_012,24,erased
260708_316_H_b2_front_CBS_012,78,erased
260708_316_H_b2_front_CBS_012,88,erased
260708_316_H_b2_front_CBS_012,22,False
260708_316_H_b2_front_CBS_012,24,False
260708_316_H_b2_front_CBS_012,69,False
260708_316_H_b2_front_CBS_012,79,False
260708_316_H_b2_front_CBS_012,82,False
260708_316_H_b2_front_CBS_016,2,True
260708_316_H_b2_front_CBS_016,8,True
260708_316_H_b2_front_CBS_016,9,True
260708_316_H_b2_front_CBS_016,10,True
260708_316_H_b2_front_CBS_016,13,True
260708_316_H_b2_front_CBS_016,15,True
260708_316_H_b2_front_CBS_016,16,True
260708_316_H_b2_front_CBS_016,17,True
260708_316_H_b2_front_CBS_016,18,True
260708_316_H_b2_front_CBS_016,20,True
260708_316_H_b2_front_CBS_016,21,True
260708_316_H_b2_front_CBS_016,22,True
260708_316_H_b2_front_CBS_016,24,True
260708_316_H_b2_front_CBS_016,25,True
260708_316_H_b2_front_CBS_016,26,True
260708_316_H_b2_front_CBS_016,27,True
260708_316_H_b2_front_CBS_016,28,True
260708_316_H_b2_front_CBS_016,29,True
260708_316_H_b2_front_CBS_016,30,True
260708_316_H_b2_front_CBS_016,31,True
260708_316_H_b2_front_CBS_016,32,True
260708_316_H_b2_front_CBS_016,33,True
260708_316_H_b2_front_CBS_016,34,True
260708_316_H_b2_front_CBS_016,35,True
260708_316_H_b2_front_CBS_016,36,True
260708_316_H_b2_front_CBS_016,37,True
260708_316_H_b2_front_CBS_016,38,True
260708_316_H_b2_front_CBS_016,39,True
260708_316_H_b2_front_CBS_016,40,True
